model,data,pred_len,seq_len,n_features,bit_width,num_params,param_bytes,activation_arena_bytes,peak_ram_bytes,flash_bytes,flops,latency_ms,energy_mj,deploy_16k,deploy_32k,deploy_64k
PatchTST,ETTm2,192,96,7,8,696259,696259,75264,79328,702403,71519728,2145.5918399999996,637.2407764799999,0,0,0
PatchTST,ETTm2,336,96,7,8,917587,917587,75264,80336,923731,74620336,2238.61008,664.86719376,0,0,0
PatchTST,ETTm2,720,96,7,8,1507795,1507795,75264,83024,1513939,82888624,2486.65872,738.53763984,0,0,0
PatchTST,Weather,96,96,21,8,548707,548707,225792,231872,554851,208357968,6250.73904,1856.46949488,0,0,0
PatchTST,Weather,192,96,21,8,696259,696259,225792,233888,702403,214559184,6436.77552,1911.72232944,0,0,0
PatchTST,Weather,336,96,21,8,917587,917587,225792,236912,923731,223861008,6715.83024,1994.6015812799997,0,0,0
PatchTST,Weather,720,96,21,8,1507795,1507795,225792,244976,1513939,248665872,7459.97616,2215.6129195199997,0,0,0
PatchTST,Exchange,96,96,8,8,548707,548707,86016,89600,554851,79374464,2381.23392,707.2264742399999,0,0,0
PatchTST,Exchange,192,96,8,8,696259,696259,86016,90368,702403,81736832,2452.1049599999997,728.2751731199999,0,0,0
PatchTST,Exchange,336,96,8,8,917587,917587,86016,91520,923731,85280384,2558.41152,759.84822144,0,0,0
PatchTST,Exchange,720,96,8,8,1507795,1507795,86016,94592,1513939,94729856,2841.89568,844.0430169599999,0,0,0
PatchTST,Electricity,96,96,321,8,548707,548707,3451392,3515072,554851,3184900368,95547.01104,28377.46227888,0,0,0
PatchTST,Electricity,192,96,321,8,696259,696259,3451392,3545888,702403,3279690384,98390.71152,29222.04132144,0,0,0
PatchTST,Electricity,336,96,321,8,917587,917587,3451392,3592112,923731,3421875408,102656.26224000001,30488.909885279998,0,0,0
PatchTST,Electricity,720,96,321,8,1507795,1507795,3451392,3715376,1513939,3801035472,114031.06416,33867.22605552,0,0,0
PatchTST,Traffic,96,96,862,8,548707,548707,9268224,9435776,554851,8552598496,256577.95488,76203.65259936,0,0,0
PatchTST,Traffic,192,96,862,8,696259,696259,9268224,9518528,702403,8807143648,264214.30944000004,78471.64990368001,0,0,0
PatchTST,Traffic,336,96,862,8,917587,917587,9268224,9642656,923731,9188961376,275668.84128,81873.64586016,0,0,0
PatchTST,Traffic,720,96,862,8,1507795,1507795,9268224,9973664,1513939,10207141984,306214.25951999996,90945.63507743999,0,0,0
TimeMixer,ETTh1,96,96,7,8,75497,75497,64512,67904,81641,21647640,649.4292,192.8804724,0,0,0
TimeMixer,ETTh1,192,96,7,8,93161,93161,64512,68576,99305,25605720,768.1715999999999,228.14696519999995,0,0,0
TimeMixer,ETTh1,336,96,7,8,119657,119657,79968,85040,125801,31542840,946.2852,281.0467044,0,0,0
TimeMixer,ETTh1,720,96,7,8,190313,190313,171360,179120,196457,47375160,1421.2548,422.1126756,0,0,0
TimeMixer,ETTh2,96,96,7,8,75497,75497,64512,67904,81641,21647640,649.4292,192.8804724,0,0,0
TimeMixer,ETTh2,192,96,7,8,93161,93161,64512,68576,99305,25605720,768.1715999999999,228.14696519999995,0,0,0
TimeMixer,ETTh2,336,96,7,8,119657,119657,79968,85040,125801,31542840,946.2852,281.0467044,0,0,0
TimeMixer,ETTh2,720,96,7,8,190313,190313,171360,179120,196457,47375160,1421.2548,422.1126756,0,0,0
TimeMixer,ETTm1,96,96,7,8,75497,75497,64512,67904,81641,21647640,649.4292,192.8804724,0,0,0
TimeMixer,ETTm1,192,96,7,8,93161,93161,64512,68576,99305,25605720,768.1715999999999,228.14696519999995,0,0,0
TimeMixer,ETTm1,336,96,7,8,119657,119657,79968,85040,125801,31542840,946.2852,281.0467044,0,0,0
TimeMixer,ETTm1,720,96,7,8,190313,190313,171360,179120,196457,47375160,1421.2548,422.1126756,0,0,0
TimeMixer,ETTm2,96,96,7,8,75497,75497,64512,67904,81641,21647640,649.4292,192.8804724,0,0,0
TimeMixer,ETTm2,192,96,7,8,93161,93161,64512,68576,99305,25605720,768.1715999999999,228.14696519999995,0,0,0
TimeMixer,ETTm2,336,96,7,8,119657,119657,79968,85040,125801,31542840,946.2852,281.0467044,0,0,0
TimeMixer,ETTm2,720,96,7,8,190313,190313,171360,179120,196457,47375160,1421.2548,422.1126756,0,0,0
TimeMixer,Weather,96,96,21,8,75609,75609,193536,199616,81753,64905288,1947.15864,578.30611608,0,0,0
TimeMixer,Weather,192,96,21,8,93273,93273,193536,201632,99417,76779528,2303.38584,684.1055944799998,0,0,0
TimeMixer,Weather,336,96,21,8,119769,119769,239904,251024,125913,94590888,2837.72664,842.80481208,0,0,0
TimeMixer,Weather,720,96,21,8,190425,190425,514080,533264,196569,142087848,4262.63544,1266.0027256800001,0,0,0
TimeMixer,Exchange,96,96,8,8,75505,75505,73728,77312,81649,24737472,742.1241600000001,220.41087552,0,0,0
TimeMixer,Exchange,192,96,8,8,93169,93169,73728,78080,99313,29260992,877.82976,260.71543871999995,0,0,0
TimeMixer,Exchange,336,96,8,8,119665,119665,91392,96896,125809,36046272,1081.38816,321.17228352,0,0,0
TimeMixer,Exchange,720,96,8,8,190321,190321,195840,204416,196465,54140352,1624.21056,482.39053632,0,0,0
TimeMixer,Electricity,96,96,321,8,78009,78009,2958336,3022016,84153,991854888,29755.64664,8837.427052079998,0,0,0
TimeMixer,Electricity,192,96,321,8,95673,95673,2958336,3052832,101817,1173361128,35200.83384,10454.64765048,0,0,0
TimeMixer,Electricity,336,96,321,8,122169,122169,3667104,3807824,128313,1445620488,43368.61464,12880.47854808,0,0,0
TimeMixer,Electricity,720,96,321,8,192825,192825,7858080,8122064,198969,2171645448,65149.36344,19349.36094168,0,0,0
TimeMixer,Traffic,96,96,862,8,82337,82337,7944192,8111744,88481,2663454000,79903.62000000001,23731.37514,0,0,0
TimeMixer,Traffic,192,96,862,8,100001,100001,7944192,8194496,106145,3150863280,94525.8984,28074.1918248,0,0,0
TimeMixer,Traffic,336,96,862,8,126497,126497,9847488,10221920,132641,3881977200,116459.316,34588.416852,0,0,0
TimeMixer,Traffic,720,96,862,8,197153,197153,21101760,21807200,203297,5831614320,174948.4296,51959.683591199995,0,0,0
TQNet,ETTh1,96,96,7,8,95240,95240,3584,6976,101384,808192,24.24576,7.20099072,1,1,1
TQNet,ETTh1,192,96,7,8,107624,107624,4032,8096,113768,980224,29.40672,8.733795839999999,1,1,1
TQNet,ETTh1,336,96,7,8,126200,126200,5040,10112,132344,1238272,37.14816,11.03300352,1,1,1
TQNet,ETTh1,720,96,7,8,175736,175736,7728,15488,181880,1926400,57.792,17.164223999999997,1,1,1
